Model,MSE,MAE,Ward
Multiplicative Damped,1.0546397683016608,0.6875264111352111,KHCC-4A-MEDICAL/SURGICAL
Additive,1.5440990405299289,0.7850063871099832,KHCC-4B-MEDICAL/SURGICAL
Additive Damped,1.2773254603432262,0.7125818620389837,KHCC-4B-MEDICAL/SURGICAL
Multiplicative,1.385765646964801,0.7595420182294905,KHCC-4B-MEDICAL/SURGICAL
Multiplicative Damped,1.2733813567981147,0.731024591358907,KHCC-4B-MEDICAL/SURGICAL
Additive,11.12004939392831,2.287156871296532,KHCC-4C-HUSSAM AL-HARIRI
Additive Damped,10.949441029368359,2.2739731031471693,KHCC-4C-HUSSAM AL-HARIRI
Multiplicative,10.56618908151297,2.273349305675824,KHCC-4C-HUSSAM AL-HARIRI
Multiplicative Damped,10.681630285649662,2.3137211328296297,KHCC-4C-HUSSAM AL-HARIRI
Additive,3.4522146617856886,1.4747281260534957,KHCC-4H-ADULT ICU
Additive Damped,3.425811718853922,1.4686975588128754,KHCC-4H-ADULT ICU
Multiplicative,3.196908196190288,1.416037518233635,KHCC-4H-ADULT ICU
Multiplicative Damped,3.1665691131023475,1.40830378098614,KHCC-4H-ADULT ICU
Additive,2.8010195990600177,1.3486977476202884,KHCC-4H-BMT
Additive Damped,2.593493182210016,1.3040120855039874,KHCC-4H-BMT
Multiplicative,2.6682126782895517,1.3166888801241325,KHCC-4H-BMT
Multiplicative Damped,2.4646856079575072,1.2703839988959373,KHCC-4H-BMT
Additive,1.6011319386763034,0.8382875639972294,KHCC-5H-PEDIATRIC
Additive Damped,1.4110861621428388,0.7614460280894495,KHCC-5H-PEDIATRIC
Multiplicative,1.895496471746206,0.9253085597701615,KHCC-5H-PEDIATRIC
Multiplicative Damped,1.3782022958941522,0.7694326057305195,KHCC-5H-PEDIATRIC
Additive,3.816736292875375,1.6105428530884285,KHCC-5H-PEDIATRIC ICU
Additive Damped,3.7878513397606492,1.6045493098069954,KHCC-5H-PEDIATRIC ICU
Multiplicative,3.517940753620917,1.5583086786374236,KHCC-5H-PEDIATRIC ICU
Multiplicative Damped,3.5046369425002273,1.5567907844097029,KHCC-5H-PEDIATRIC ICU
Additive,9.41707245051103,2.4472554696176188,KHCC-6H-PEDIATRIC
Additive Damped,8.180493679019586,2.288993810900525,KHCC-6H-PEDIATRIC
Multiplicative,8.929801753888412,2.313119902986784,KHCC-6H-PEDIATRIC
Multiplicative Damped,8.044623668646594,2.237214472831512,KHCC-6H-PEDIATRIC
Additive,13.04499813651753,2.921810002150259,KHCC-7H-BMT
Additive Damped,12.911460522763964,2.90877106679747,KHCC-7H-BMT
Multiplicative,12.012942640430802,2.833936647247502,KHCC-7H-BMT
Multiplicative Damped,11.591996890228964,2.7908519367226083,KHCC-7H-BMT
Additive,1.6379308442795104,0.7091481420553988,KHCC-8H-SHAKOUR ABU GHAZAL
Additive Damped,1.6511764551716548,0.6767839604550965,KHCC-8H-SHAKOUR ABU GHAZAL
Multiplicative,1.9766621409944198,0.8787878616910196,KHCC-8H-SHAKOUR ABU GHAZAL
Multiplicative Damped,1.9280025606254543,0.8102822438818211,KHCC-8H-SHAKOUR ABU GHAZAL
Additive,10.046681818021852,2.4000649118957065,KHCC-9H-LEUKEMIA
Additive Damped,8.843666043090014,2.2725584756984696,KHCC-9H-LEUKEMIA
Multiplicative,9.674400158352487,2.343022220417049,KHCC-9H-LEUKEMIA
Multiplicative Damped,8.358352407281513,2.1887673253394007,KHCC-9H-LEUKEMIA
Additive,7.863254166720427,2.2187200470142687,KHCC-ADULT DAY CASE KSB
Additive Damped,7.8430841731044225,2.2160179125599972,KHCC-ADULT DAY CASE KSB
Multiplicative,6682.207047843749,67.20572374336889,KHCC-ADULT DAY CASE KSB
Multiplicative Damped,33854.94074368759,150.75394390312096,KHCC-ADULT DAY CASE KSB
Additive,22.139776142174657,3.7745654134718487,KHCC-EMERGENCY ROOM
Additive Damped,22.055516784732283,3.7694908557512923,KHCC-EMERGENCY ROOM
Multiplicative,20.433768077704368,3.5388720670403813,KHCC-EMERGENCY ROOM
Multiplicative Damped,19.58813902855564,3.550688133299794,KHCC-EMERGENCY ROOM
Additive,14.741472505704188,3.169962221788549,KHCC-PED DAY CASE
Additive Damped,14.928086162326316,3.172304188176643,KHCC-PED DAY CASE
Multiplicative,14.748175929461448,3.170920192239358,KHCC-PED DAY CASE
Multiplicative Damped,14.921872334120135,3.1731671460210276,KHCC-PED DAY CASE
Additive,2.813179424989477,1.2141449105084954,KHCC-5C-KOLAGHASSI WING
Additive Damped,2.332801375747293,1.1156301720073802,KHCC-5C-KOLAGHASSI WING
Multiplicative,2.4716046625501114,1.1649794443623933,KHCC-5C-KOLAGHASSI WING
Multiplicative Damped,1.9060640327654812,1.0236550564800626,KHCC-5C-KOLAGHASSI WING
