Model,MSE,MAE,Ward
Additive Damped,0.8615282997601621,0.5553568835799906,KHCC-4A-MEDICAL/SURGICAL
Multiplicative,0.9140620647431708,0.6182930925450042,KHCC-4A-MEDICAL/SURGICAL
Multiplicative Damped,1.0607927131536705,0.6867735879191957,KHCC-4A-MEDICAL/SURGICAL
Additive,1.3737102264982992,0.738187923648123,KHCC-4B-MEDICAL/SURGICAL
Additive Damped,1.102418933624663,0.66428954952891,KHCC-4B-MEDICAL/SURGICAL
Multiplicative,1.2251274778357573,0.714526254849631,KHCC-4B-MEDICAL/SURGICAL
Multiplicative Damped,1.111759413743204,0.685575778793282,KHCC-4B-MEDICAL/SURGICAL
Additive,11.422016907897367,2.333522611651959,KHCC-4C-HUSSAM AL-HARIRI
Additive Damped,11.24732596895448,2.3204591628149838,KHCC-4C-HUSSAM AL-HARIRI
Multiplicative,10.856028325107307,2.322600871214827,KHCC-4C-HUSSAM AL-HARIRI
Multiplicative Damped,10.966471798090897,2.359051649233705,KHCC-4C-HUSSAM AL-HARIRI
Additive,3.5158250134817446,1.4858172001244552,KHCC-4H-ADULT ICU
Additive Damped,3.4878252465965396,1.4792547520953592,KHCC-4H-ADULT ICU
Multiplicative,3.2091750160095933,1.410330556156508,KHCC-4H-ADULT ICU
Multiplicative Damped,3.172784212341472,1.400896681935943,KHCC-4H-ADULT ICU
Additive,2.831243462737905,1.3544381202359805,KHCC-4H-BMT
Additive Damped,2.612957655685507,1.306293556760539,KHCC-4H-BMT
Multiplicative,2.7067475338599776,1.3252318709911002,KHCC-4H-BMT
Multiplicative Damped,2.508956309027794,1.28441519912782,KHCC-4H-BMT
Additive,1.6407418059942434,0.8499719810955623,KHCC-5H-PEDIATRIC
Additive Damped,1.4485492049301696,0.7747052575281568,KHCC-5H-PEDIATRIC
Multiplicative,1.9409785963473256,0.9376572322453404,KHCC-5H-PEDIATRIC
Multiplicative Damped,1.4141057726482849,0.7828112666870266,KHCC-5H-PEDIATRIC
Additive,3.9025334598312837,1.6384747191502058,KHCC-5H-PEDIATRIC ICU
Additive Damped,3.872897953364099,1.6323092514357034,KHCC-5H-PEDIATRIC ICU
Multiplicative,3.59425353504151,1.5836539559697413,KHCC-5H-PEDIATRIC ICU
Multiplicative Damped,3.581017593879947,1.5821151957885715,KHCC-5H-PEDIATRIC ICU
Additive,9.552817978004859,2.463870213380219,KHCC-6H-PEDIATRIC
Additive Damped,8.28240479320499,2.3019000093216624,KHCC-6H-PEDIATRIC
Multiplicative,9.100588115200972,2.336023488881734,KHCC-6H-PEDIATRIC
Multiplicative Damped,8.137674399626656,2.247491305193201,KHCC-6H-PEDIATRIC
Additive,13.373165880676542,2.971546109427112,KHCC-7H-BMT
Additive Damped,13.233430708606788,2.9575218075495098,KHCC-7H-BMT
Multiplicative,12.29619829164488,2.8761033387446755,KHCC-7H-BMT
Multiplicative Damped,11.805602150076073,2.8175874114821258,KHCC-7H-BMT
Additive,1.6801268743985418,0.7206842262750941,KHCC-8H-SHAKOUR ABU GHAZAL
Additive Damped,1.6948859518992623,0.6891087667528197,KHCC-8H-SHAKOUR ABU GHAZAL
Multiplicative,2.026236582854439,0.8937844202062443,KHCC-8H-SHAKOUR ABU GHAZAL
Multiplicative Damped,1.9784829019326755,0.8245084004299289,KHCC-8H-SHAKOUR ABU GHAZAL
Additive,10.26745678328737,2.4328164920617916,KHCC-9H-LEUKEMIA
Additive Damped,9.029079755654166,2.3016756925379376,KHCC-9H-LEUKEMIA
Multiplicative,9.868584918821492,2.371262957602974,KHCC-9H-LEUKEMIA
Multiplicative Damped,8.516907082454376,2.2123618180341444,KHCC-9H-LEUKEMIA
Additive,7.937521122285941,2.220051174017989,KHCC-ADULT DAY CASE KSB
Additive Damped,7.917334678527261,2.217384741001155,KHCC-ADULT DAY CASE KSB
Multiplicative,6572.077019639869,66.78029453092992,KHCC-ADULT DAY CASE KSB
Multiplicative Damped,33554.965465825466,150.24808826409492,KHCC-ADULT DAY CASE KSB
Additive,22.40680748829668,3.785616162792946,KHCC-EMERGENCY ROOM
Additive Damped,22.320041156339478,3.7803744212183887,KHCC-EMERGENCY ROOM
Multiplicative,20.7674839675993,3.5656255725472707,KHCC-EMERGENCY ROOM
Multiplicative Damped,19.78376286594966,3.5587859158758466,KHCC-EMERGENCY ROOM
Additive,15.121019918691283,3.2336718596387293,KHCC-PED DAY CASE
Additive Damped,15.307478656071908,3.237843622335727,KHCC-PED DAY CASE
Multiplicative,15.127392837617792,3.2344180730683796,KHCC-PED DAY CASE
Multiplicative Damped,15.301021101029892,3.2387508662769617,KHCC-PED DAY CASE
Additive,2.88335791365757,1.2356058019207437,KHCC-5C-KOLAGHASSI WING
Additive Damped,2.390127929945722,1.1352531661744842,KHCC-5C-KOLAGHASSI WING
Multiplicative,2.524506596733883,1.179284459665382,KHCC-5C-KOLAGHASSI WING
Multiplicative Damped,1.9553739769972642,1.0427990349398066,KHCC-5C-KOLAGHASSI WING
