Date,WARD,TotalBedsUsed
2022-01-03,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-01-03,KHCC-9H-LEUKEMIA,21
2022-01-03,KHCC-ADULT DAY CASE KSB,9
2022-01-03,KHCC-BMT DAY CASE,1
2022-01-03,KHCC-EMERGENCY KSB ROOM,1
2022-01-03,KHCC-EMERGENCY ROOM,7
2022-01-03,KHCC-PED DAY CASE,17
2022-01-04,KHCC-10H-BMT,6
2022-01-04,KHCC-10H-MEDICAL/SURGICAL,16
2022-01-04,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-04,KHCC-2B-AICU,10
2022-01-04,KHCC-2C-SIMU,6
2022-01-04,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-04,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-04,KHCC-3C-SURGERY,33
2022-01-04,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-04,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-04,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-04,KHCC-4H-ADULT ICU,2
2022-01-04,KHCC-4H-BMT,14
2022-01-04,KHCC-5H-PEDIATRIC,14
2022-01-04,KHCC-5H-PEDIATRIC ICU,6
2022-01-04,KHCC-6H-PEDIATRIC,21
2022-01-04,KHCC-7H-BMT,17
2022-01-04,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-01-04,KHCC-9H-LEUKEMIA,21
2022-01-04,KHCC-ADULT DAY CASE KSB,6
2022-01-04,KHCC-EMERGENCY KSB ROOM,2
2022-01-04,KHCC-EMERGENCY ROOM,7
2022-01-04,KHCC-PED DAY CASE,9
2022-01-05,KHCC-10H-BMT,7
2022-01-05,KHCC-10H-MEDICAL/SURGICAL,16
2022-01-05,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-05,KHCC-2B-AICU,8
2022-01-05,KHCC-2C-SIMU,6
2022-01-05,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-05,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-05,KHCC-3C-SURGERY,31
2022-01-05,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-05,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-05,KHCC-4C-HUSSAM AL-HARIRI,32
2022-01-05,KHCC-4H-ADULT ICU,3
2022-01-05,KHCC-4H-BMT,14
2022-01-05,KHCC-5H-PEDIATRIC,13
2022-01-05,KHCC-5H-PEDIATRIC ICU,5
2022-01-05,KHCC-6H-PEDIATRIC,23
2022-01-05,KHCC-7H-BMT,18
2022-01-05,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-05,KHCC-9H-LEUKEMIA,24
2022-01-05,KHCC-ADULT DAY CASE KSB,12
2022-01-05,KHCC-EMERGENCY KSB ROOM,3
2022-01-05,KHCC-EMERGENCY ROOM,10
2022-01-05,KHCC-PED DAY CASE,9
2022-01-06,KHCC-10H-BMT,6
2022-01-06,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-06,KHCC-11H-MEDICAL/SURGICAL,3
2022-01-06,KHCC-2A-MEDICAL/SURGICAL,4
2022-01-06,KHCC-2B-AICU,11
2022-01-06,KHCC-2C-SIMU,6
2022-01-06,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-06,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-06,KHCC-3C-SURGERY,33
2022-01-06,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-06,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-06,KHCC-4C-HUSSAM AL-HARIRI,30
2022-01-06,KHCC-4H-ADULT ICU,4
2022-01-06,KHCC-4H-BMT,13
2022-01-06,KHCC-5H-PEDIATRIC,14
2022-01-06,KHCC-5H-PEDIATRIC ICU,5
2022-01-06,KHCC-6H-PEDIATRIC,23
2022-01-06,KHCC-7H-BMT,15
2022-01-06,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-06,KHCC-9H-LEUKEMIA,24
2022-01-06,KHCC-ADULT DAY CASE KSB,7
2022-01-06,KHCC-BMT DAY CASE,1
2022-01-06,KHCC-EMERGENCY KSB ROOM,1
2022-01-06,KHCC-EMERGENCY ROOM,12
2022-01-06,KHCC-PED DAY CASE,6
2022-01-07,KHCC-10H-BMT,5
2022-01-07,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-07,KHCC-11H-MEDICAL/SURGICAL,2
2022-01-07,KHCC-2A-MEDICAL/SURGICAL,3
2022-01-07,KHCC-2B-AICU,11
2022-01-07,KHCC-2C-SIMU,5
2022-01-07,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-07,KHCC-3B-MEDICAL/SURGICAL,15
2022-01-07,KHCC-3C-SURGERY,34
2022-01-07,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-07,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-07,KHCC-4C-HUSSAM AL-HARIRI,27
2022-01-07,KHCC-4H-ADULT ICU,4
2022-01-07,KHCC-4H-BMT,12
2022-01-07,KHCC-5H-PEDIATRIC,14
2022-01-07,KHCC-5H-PEDIATRIC ICU,6
2022-01-07,KHCC-6H-PEDIATRIC,20
2022-01-07,KHCC-7H-BMT,13
2022-01-07,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-07,KHCC-9H-LEUKEMIA,23
2022-01-07,KHCC-ADULT DAY CASE KSB,1
2022-01-07,KHCC-EMERGENCY ROOM,3
2022-01-08,KHCC-10H-BMT,5
2022-01-08,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-08,KHCC-11H-MEDICAL/SURGICAL,2
2022-01-08,KHCC-2A-MEDICAL/SURGICAL,5
2022-01-08,KHCC-2B-AICU,11
2022-01-08,KHCC-2C-SIMU,2
2022-01-08,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-08,KHCC-3B-MEDICAL/SURGICAL,16
2022-01-08,KHCC-3C-SURGERY,31
2022-01-08,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-08,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-08,KHCC-4C-HUSSAM AL-HARIRI,28
2022-01-08,KHCC-4H-ADULT ICU,6
2022-01-08,KHCC-4H-BMT,11
2022-01-08,KHCC-5H-PEDIATRIC,13
2022-01-08,KHCC-5H-PEDIATRIC ICU,5
2022-01-08,KHCC-6H-PEDIATRIC,20
2022-01-08,KHCC-7H-BMT,13
2022-01-08,KHCC-8H-SHAKOUR ABU GHAZAL,21
2022-01-08,KHCC-9H-LEUKEMIA,22
2022-01-08,KHCC-ADULT DAY CASE KSB,10
2022-01-08,KHCC-EMERGENCY ROOM,4
2022-01-09,KHCC-10H-BMT,5
2022-01-09,KHCC-10H-MEDICAL/SURGICAL,13
2022-01-09,KHCC-11H-MEDICAL/SURGICAL,1
2022-01-09,KHCC-2A-MEDICAL/SURGICAL,3
2022-01-09,KHCC-2B-AICU,10
2022-01-09,KHCC-2C-SIMU,6
2022-01-09,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-09,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-09,KHCC-3C-SURGERY,33
2022-01-09,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-09,KHCC-4B-MEDICAL/SURGICAL,19
2022-01-09,KHCC-4C-HUSSAM AL-HARIRI,30
2022-01-09,KHCC-4H-ADULT ICU,6
2022-01-09,KHCC-4H-BMT,13
2022-01-09,KHCC-5H-PEDIATRIC,13
2022-01-09,KHCC-5H-PEDIATRIC ICU,6
2022-01-09,KHCC-6H-PEDIATRIC,23
2022-01-09,KHCC-7H-BMT,13
2022-01-09,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-01-09,KHCC-9H-LEUKEMIA,21
2022-01-09,KHCC-ADULT DAY CASE KSB,5
2022-01-09,KHCC-EMERGENCY KSB ROOM,1
2022-01-09,KHCC-EMERGENCY ROOM,4
2022-01-09,KHCC-PED DAY CASE,9
2022-01-10,KHCC-10H-BMT,6
2022-01-10,KHCC-10H-MEDICAL/SURGICAL,14
2022-01-10,KHCC-11H-MEDICAL/SURGICAL,1
2022-01-10,KHCC-2A-MEDICAL/SURGICAL,5
2022-01-10,KHCC-2B-AICU,11
2022-01-10,KHCC-2C-SIMU,6
2022-01-10,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-10,KHCC-3B-MEDICAL/SURGICAL,19
2022-01-10,KHCC-3C-SURGERY,33
2022-01-10,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-10,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-10,KHCC-4C-HUSSAM AL-HARIRI,29
2022-01-10,KHCC-4H-ADULT ICU,6
2022-01-10,KHCC-4H-BMT,13
2022-01-10,KHCC-5H-PEDIATRIC,13
2022-01-10,KHCC-5H-PEDIATRIC ICU,4
2022-01-10,KHCC-6H-PEDIATRIC,24
2022-01-10,KHCC-7H-BMT,17
2022-01-10,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-10,KHCC-9H-LEUKEMIA,21
2022-01-10,KHCC-ADULT DAY CASE KSB,8
2022-01-10,KHCC-BMT DAY CASE,1
2022-01-10,KHCC-EMERGENCY KSB ROOM,1
2022-01-10,KHCC-EMERGENCY ROOM,6
2022-01-10,KHCC-PED DAY CASE,13
2022-01-11,KHCC-10H-BMT,6
2022-01-11,KHCC-10H-MEDICAL/SURGICAL,14
2022-01-11,KHCC-11H-MEDICAL/SURGICAL,1
2022-01-11,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-11,KHCC-2B-AICU,7
2022-01-11,KHCC-2C-SIMU,6
2022-01-11,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-11,KHCC-3B-MEDICAL/SURGICAL,19
2022-01-11,KHCC-3C-SURGERY,33
2022-01-11,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-11,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-11,KHCC-4C-HUSSAM AL-HARIRI,29
2022-01-11,KHCC-4H-ADULT ICU,6
2022-01-11,KHCC-4H-BMT,13
2022-01-11,KHCC-5H-PEDIATRIC,12
2022-01-11,KHCC-5H-PEDIATRIC ICU,6
2022-01-11,KHCC-6H-PEDIATRIC,24
2022-01-11,KHCC-7H-BMT,16
2022-01-11,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-11,KHCC-9H-LEUKEMIA,24
2022-01-11,KHCC-ADULT DAY CASE KSB,4
2022-01-11,KHCC-EMERGENCY KSB ROOM,1
2022-01-11,KHCC-EMERGENCY ROOM,6
2022-01-11,KHCC-PED DAY CASE,8
2022-01-12,KHCC-10H-BMT,8
2022-01-12,KHCC-10H-MEDICAL/SURGICAL,14
2022-01-12,KHCC-11H-MEDICAL/SURGICAL,1
2022-01-12,KHCC-2A-MEDICAL/SURGICAL,5
2022-01-12,KHCC-2B-AICU,10
2022-01-12,KHCC-2C-SIMU,6
2022-01-12,KHCC-3A-MEDICAL/SURGICAL,17
2022-01-12,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-12,KHCC-3C-SURGERY,34
2022-01-12,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-12,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-12,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-12,KHCC-4H-ADULT ICU,4
2022-01-12,KHCC-4H-BMT,14
2022-01-12,KHCC-5H-PEDIATRIC,13
2022-01-12,KHCC-5H-PEDIATRIC ICU,6
2022-01-12,KHCC-6H-PEDIATRIC,23
2022-01-12,KHCC-7H-BMT,18
2022-01-12,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-12,KHCC-9H-LEUKEMIA,22
2022-01-12,KHCC-ADULT DAY CASE KSB,6
2022-01-12,KHCC-BMT DAY CASE,1
2022-01-12,KHCC-EMERGENCY KSB ROOM,1
2022-01-12,KHCC-EMERGENCY ROOM,5
2022-01-12,KHCC-PED DAY CASE,12
2022-01-13,KHCC-10H-BMT,8
2022-01-13,KHCC-10H-MEDICAL/SURGICAL,10
2022-01-13,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-13,KHCC-2B-AICU,11
2022-01-13,KHCC-2C-SIMU,6
2022-01-13,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-13,KHCC-3B-MEDICAL/SURGICAL,19
2022-01-13,KHCC-3C-SURGERY,34
2022-01-13,KHCC-4A-MEDICAL/SURGICAL,19
2022-01-13,KHCC-4B-MEDICAL/SURGICAL,17
2022-01-13,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-13,KHCC-4H-ADULT ICU,4
2022-01-13,KHCC-4H-BMT,12
2022-01-13,KHCC-5H-PEDIATRIC,14
2022-01-13,KHCC-5H-PEDIATRIC ICU,5
2022-01-13,KHCC-6H-PEDIATRIC,23
2022-01-13,KHCC-7H-BMT,19
2022-01-13,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-13,KHCC-9H-LEUKEMIA,20
2022-01-13,KHCC-ADULT DAY CASE KSB,5
2022-01-13,KHCC-ADULT DAY CASE NZR,1
2022-01-13,KHCC-EMERGENCY KSB ROOM,2
2022-01-13,KHCC-EMERGENCY ROOM,6
2022-01-13,KHCC-PED DAY CASE,7
2022-01-14,KHCC-10H-BMT,8
2022-01-14,KHCC-10H-MEDICAL/SURGICAL,7
2022-01-14,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-14,KHCC-2B-AICU,11
2022-01-14,KHCC-2C-SIMU,6
2022-01-14,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-14,KHCC-3B-MEDICAL/SURGICAL,17
2022-01-14,KHCC-3C-SURGERY,31
2022-01-14,KHCC-4A-MEDICAL/SURGICAL,19
2022-01-14,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-14,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-14,KHCC-4H-ADULT ICU,2
2022-01-14,KHCC-4H-BMT,11
2022-01-14,KHCC-5H-PEDIATRIC,14
2022-01-14,KHCC-5H-PEDIATRIC ICU,4
2022-01-14,KHCC-6H-PEDIATRIC,24
2022-01-14,KHCC-7H-BMT,17
2022-01-14,KHCC-8H-SHAKOUR ABU GHAZAL,20
2022-01-14,KHCC-9H-LEUKEMIA,18
2022-01-14,KHCC-ADULT DAY CASE KSB,1
2022-01-14,KHCC-EMERGENCY ROOM,4
2022-01-15,KHCC-10H-BMT,7
2022-01-15,KHCC-10H-MEDICAL/SURGICAL,10
2022-01-15,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-15,KHCC-2B-AICU,12
2022-01-15,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-15,KHCC-3B-MEDICAL/SURGICAL,17
2022-01-15,KHCC-3C-SURGERY,33
2022-01-15,KHCC-4A-MEDICAL/SURGICAL,19
2022-01-15,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-15,KHCC-4C-HUSSAM AL-HARIRI,30
2022-01-15,KHCC-4H-ADULT ICU,3
2022-01-15,KHCC-4H-BMT,9
2022-01-15,KHCC-5H-PEDIATRIC,13
2022-01-15,KHCC-5H-PEDIATRIC ICU,5
2022-01-15,KHCC-6H-PEDIATRIC,22
2022-01-15,KHCC-7H-BMT,16
2022-01-15,KHCC-8H-SHAKOUR ABU GHAZAL,20
2022-01-15,KHCC-9H-LEUKEMIA,15
2022-01-15,KHCC-ADULT DAY CASE KSB,11
2022-01-15,KHCC-EMERGENCY ROOM,7
2022-01-16,KHCC-10H-BMT,7
2022-01-16,KHCC-10H-MEDICAL/SURGICAL,13
2022-01-16,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-16,KHCC-2B-AICU,10
2022-01-16,KHCC-2C-SIMU,3
2022-01-16,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-16,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-16,KHCC-3C-SURGERY,34
2022-01-16,KHCC-4A-MEDICAL/SURGICAL,19
2022-01-16,KHCC-4B-MEDICAL/SURGICAL,18
2022-01-16,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-16,KHCC-4H-ADULT ICU,4
2022-01-16,KHCC-4H-BMT,9
2022-01-16,KHCC-5H-PEDIATRIC,12
2022-01-16,KHCC-5H-PEDIATRIC ICU,6
2022-01-16,KHCC-6H-PEDIATRIC,23
2022-01-16,KHCC-7H-BMT,15
2022-01-16,KHCC-8H-SHAKOUR ABU GHAZAL,23
2022-01-16,KHCC-9H-LEUKEMIA,16
2022-01-16,KHCC-ADULT DAY CASE KSB,6
2022-01-16,KHCC-ADULT DAY CASE NZR,1
2022-01-16,KHCC-BMT DAY CASE,1
2022-01-16,KHCC-EMERGENCY KSB ROOM,1
2022-01-16,KHCC-EMERGENCY ROOM,9
2022-01-16,KHCC-PED DAY CASE,6
2022-01-17,KHCC-10H-BMT,7
2022-01-17,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-17,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-17,KHCC-2B-AICU,8
2022-01-17,KHCC-2C-SIMU,5
2022-01-17,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-17,KHCC-3B-MEDICAL/SURGICAL,17
2022-01-17,KHCC-3C-SURGERY,33
2022-01-17,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-17,KHCC-4B-MEDICAL/SURGICAL,17
2022-01-17,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-17,KHCC-4H-ADULT ICU,2
2022-01-17,KHCC-4H-BMT,9
2022-01-17,KHCC-5H-PEDIATRIC,14
2022-01-17,KHCC-5H-PEDIATRIC ICU,4
2022-01-17,KHCC-6H-PEDIATRIC,22
2022-01-17,KHCC-7H-BMT,15
2022-01-17,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-17,KHCC-9H-LEUKEMIA,17
2022-01-17,KHCC-ADULT DAY CASE KSB,4
2022-01-17,KHCC-EMERGENCY KSB ROOM,2
2022-01-17,KHCC-EMERGENCY ROOM,9
2022-01-17,KHCC-PED DAY CASE,7
2022-01-18,KHCC-10H-BMT,6
2022-01-18,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-18,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-18,KHCC-2B-AICU,7
2022-01-18,KHCC-2C-SIMU,6
2022-01-18,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-18,KHCC-3B-MEDICAL/SURGICAL,17
2022-01-18,KHCC-3C-SURGERY,34
2022-01-18,KHCC-4A-MEDICAL/SURGICAL,18
2022-01-18,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-18,KHCC-4C-HUSSAM AL-HARIRI,28
2022-01-18,KHCC-4H-ADULT ICU,2
2022-01-18,KHCC-4H-BMT,12
2022-01-18,KHCC-5H-PEDIATRIC,11
2022-01-18,KHCC-5H-PEDIATRIC ICU,4
2022-01-18,KHCC-6H-PEDIATRIC,21
2022-01-18,KHCC-7H-BMT,15
2022-01-18,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-18,KHCC-9H-LEUKEMIA,19
2022-01-18,KHCC-ADULT DAY CASE KSB,5
2022-01-18,KHCC-EMERGENCY KSB ROOM,3
2022-01-18,KHCC-EMERGENCY ROOM,8
2022-01-18,KHCC-PED DAY CASE,4
2022-01-19,KHCC-10H-BMT,6
2022-01-19,KHCC-10H-MEDICAL/SURGICAL,14
2022-01-19,KHCC-2A-MEDICAL/SURGICAL,8
2022-01-19,KHCC-2B-AICU,7
2022-01-19,KHCC-2C-SIMU,6
2022-01-19,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-19,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-19,KHCC-3C-SURGERY,35
2022-01-19,KHCC-4A-MEDICAL/SURGICAL,16
2022-01-19,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-19,KHCC-4C-HUSSAM AL-HARIRI,27
2022-01-19,KHCC-4H-ADULT ICU,3
2022-01-19,KHCC-4H-BMT,12
2022-01-19,KHCC-5H-PEDIATRIC,12
2022-01-19,KHCC-5H-PEDIATRIC ICU,4
2022-01-19,KHCC-6H-PEDIATRIC,21
2022-01-19,KHCC-7H-BMT,14
2022-01-19,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-19,KHCC-9H-LEUKEMIA,21
2022-01-19,KHCC-ADULT DAY CASE KSB,14
2022-01-19,KHCC-EMERGENCY KSB ROOM,1
2022-01-19,KHCC-EMERGENCY ROOM,4
2022-01-19,KHCC-PED DAY CASE,10
2022-01-20,KHCC-10H-BMT,7
2022-01-20,KHCC-10H-MEDICAL/SURGICAL,14
2022-01-20,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-20,KHCC-2B-AICU,8
2022-01-20,KHCC-2C-SIMU,6
2022-01-20,KHCC-3A-MEDICAL/SURGICAL,16
2022-01-20,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-20,KHCC-3C-SURGERY,35
2022-01-20,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-20,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-20,KHCC-4C-HUSSAM AL-HARIRI,31
2022-01-20,KHCC-4H-ADULT ICU,4
2022-01-20,KHCC-4H-BMT,11
2022-01-20,KHCC-5H-PEDIATRIC,13
2022-01-20,KHCC-5H-PEDIATRIC ICU,4
2022-01-20,KHCC-6H-PEDIATRIC,23
2022-01-20,KHCC-7H-BMT,14
2022-01-20,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-20,KHCC-9H-LEUKEMIA,22
2022-01-20,KHCC-ADULT DAY CASE KSB,4
2022-01-20,KHCC-EMERGENCY KSB ROOM,2
2022-01-20,KHCC-EMERGENCY ROOM,5
2022-01-20,KHCC-PED DAY CASE,5
2022-01-21,KHCC-10H-BMT,6
2022-01-21,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-21,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-21,KHCC-2B-AICU,10
2022-01-21,KHCC-2C-SIMU,6
2022-01-21,KHCC-3A-MEDICAL/SURGICAL,15
2022-01-21,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-21,KHCC-3C-SURGERY,32
2022-01-21,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-21,KHCC-4B-MEDICAL/SURGICAL,17
2022-01-21,KHCC-4C-HUSSAM AL-HARIRI,29
2022-01-21,KHCC-4H-ADULT ICU,4
2022-01-21,KHCC-4H-BMT,11
2022-01-21,KHCC-5H-PEDIATRIC,13
2022-01-21,KHCC-5H-PEDIATRIC ICU,2
2022-01-21,KHCC-6H-PEDIATRIC,21
2022-01-21,KHCC-7H-BMT,13
2022-01-21,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-21,KHCC-9H-LEUKEMIA,20
2022-01-21,KHCC-ADULT DAY CASE KSB,1
2022-01-21,KHCC-EMERGENCY KSB ROOM,1
2022-01-21,KHCC-EMERGENCY ROOM,5
2022-01-22,KHCC-10H-BMT,6
2022-01-22,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-22,KHCC-2A-MEDICAL/SURGICAL,6
2022-01-22,KHCC-2B-AICU,10
2022-01-22,KHCC-2C-SIMU,2
2022-01-22,KHCC-3A-MEDICAL/SURGICAL,15
2022-01-22,KHCC-3B-MEDICAL/SURGICAL,18
2022-01-22,KHCC-3C-SURGERY,32
2022-01-22,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-22,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-22,KHCC-4C-HUSSAM AL-HARIRI,26
2022-01-22,KHCC-4H-ADULT ICU,5
2022-01-22,KHCC-4H-BMT,11
2022-01-22,KHCC-5H-PEDIATRIC,13
2022-01-22,KHCC-5H-PEDIATRIC ICU,3
2022-01-22,KHCC-6H-PEDIATRIC,22
2022-01-22,KHCC-7H-BMT,12
2022-01-22,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-22,KHCC-9H-LEUKEMIA,19
2022-01-22,KHCC-ADULT DAY CASE KSB,4
2022-01-22,KHCC-EMERGENCY ROOM,4
2022-01-23,KHCC-10H-BMT,6
2022-01-23,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-23,KHCC-11H-MEDICAL/SURGICAL,2
2022-01-23,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-23,KHCC-2B-AICU,9
2022-01-23,KHCC-2C-SIMU,6
2022-01-23,KHCC-3A-MEDICAL/SURGICAL,14
2022-01-23,KHCC-3B-MEDICAL/SURGICAL,17
2022-01-23,KHCC-3C-SURGERY,32
2022-01-23,KHCC-4A-MEDICAL/SURGICAL,17
2022-01-23,KHCC-4B-MEDICAL/SURGICAL,16
2022-01-23,KHCC-4C-HUSSAM AL-HARIRI,26
2022-01-23,KHCC-4H-ADULT ICU,3
2022-01-23,KHCC-4H-BMT,11
2022-01-23,KHCC-5H-PEDIATRIC,14
2022-01-23,KHCC-5H-PEDIATRIC ICU,5
2022-01-23,KHCC-6H-PEDIATRIC,22
2022-01-23,KHCC-7H-BMT,10
2022-01-23,KHCC-8H-SHAKOUR ABU GHAZAL,24
2022-01-23,KHCC-9H-LEUKEMIA,20
2022-01-23,KHCC-ADULT DAY CASE KSB,8
2022-01-23,KHCC-EMERGENCY KSB ROOM,2
2022-01-23,KHCC-EMERGENCY ROOM,4
2022-01-23,KHCC-PED DAY CASE,6
2022-01-24,KHCC-10H-BMT,7
2022-01-24,KHCC-10H-MEDICAL/SURGICAL,15
2022-01-24,KHCC-11H-MEDICAL/SURGICAL,4
2022-01-24,KHCC-2A-MEDICAL/SURGICAL,7
2022-01-24,KHCC-2B-AICU,6
2022-01-24,KHCC-2C-SIMU,6
2022-01-24,KHCC-3A-MEDICAL/SURGICAL,14
